Account Name,Company URL/Website URL,Company Phone,Company Street,Company City,Company State,Company Zip,Company Country,Industry,ZoomInfo Company ID,Linkedin Company URL,Export Link,Oracle Email Address,Sales Rep
Ali-Zon,http://www.ali-zon.com,424 558 3066 ext. 301,20910 Normandie Ave Unit D,Torrance,CA,90502,United States,Retail,356358022,https://www.linkedin.com/company/alizonglobal/,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=156005325,brian.br.oneill@oracle.com,"O'Neill, Brian"
All Star Trading,http://www.allstartrading.com,8473758675,2100 Clearwater Dr Ste 320,Oak Brook,IL,60523,United States,Retail,3919269,https://www.linkedin.com/sales/company/3239075?_ntb=B%2BURhdJqSgq%2B9YTG1vOGGg%3D%3D,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=22227913,brian.br.oneill@oracle.com,"O'Neill, Brian"
Alpha Safety,https://alphasafetyco.com/,720-201-7927,400 Corporate Cir Ste M,Golden,CO,80401,United States,Manufacturing,38454589,http://www.linkedin.com/company/nuclear-filter-technology,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=48464238,brian.br.oneill@oracle.com,"O'Neill, Brian"
AmazingCosmetics,http://www.amazingcosmetics.com,18476805247,605 N. Milwaukee Ave.,Libertyville,IL,60048,United States,Consumer Services,7182044,http://www.linkedin.com/company/amazing-cosmetics-inc,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=37310314,brian.br.oneill@oracle.com,"O'Neill, Brian"
Aminox,http://amionxsafecore.com,(760) 827-0241,,,,,,,,,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=142230091,brian.br.oneill@oracle.com,"O'Neill, Brian"
Anderson Pump Company,http://www.andersonpumpcompany.com,5596654477,24719 Robertson Blvd,Chowchilla,CA,93610-9090,United States,Manufacturing,14602776,http://www.linkedin.com/company/anderson-pump-company,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=15650255,brian.br.oneill@oracle.com,"O'Neill, Brian"
Antares Industries,http://antaresindustries.com,(757) 434-2534,19501 Prairie Ave,"Torrance,",CA,90503,United States,Manufacturing,12315807,,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=210827332,brian.br.oneill@oracle.com,"O'Neill, Brian"
"Aosense, Inc.",http://www.aosense.com,408 636 2604,415 Oakmead Pkwy,Sunnyvale,CA,94085-4709,United States,Manufacturing,361694672,http://www.linkedin.com/company/aosense,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=30502776,brian.br.oneill@oracle.com,"O'Neill, Brian"
Applied Cardiac Systems Inc,https://acsd4u.com,949 855 9366,22912 EL PACIFICO DRIVE,LAGUNA HILLS,CA,92653,United States,Retail,4524108,http://www.linkedin.com/company/acs-diagnostics-inc,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=15033880,brian.br.oneill@oracle.com,"O'Neill, Brian"
Arcadia,https://arcadiacontract.com/,714-562-8200,6892 Marlin Cir,La Palma,CA,90623,United States,Manufacturing,1133102525,http://www.linkedin.com/company/archaidi-furniture-concepts-inc,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=100597848,brian.br.oneill@oracle.com,"O'Neill, Brian"
Arnold,http://arncosolutions.com,6182247505,2955 Trico Drive,Trenton,IL,62293,United States,Manufacturing,343412615,http://www.linkedin.com/company/3282434,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=20694212,brian.br.oneill@oracle.com,"O'Neill, Brian"
Arrowhead Potatoes,https://arrowheadpotatoes.com/,1 (208) 436-1209,,Rupert,ID,83350,United States,Retail,8325844,http://www.linkedin.com/company/arrowhead-potato-co,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=201044977,brian.br.oneill@oracle.com,"O'Neill, Brian"
Artisan Bakers,http://www.artisanbakers.com,707 939 1765,750 W Napa Street,Sonoma,CA,95476,United States,Retail,8260964,http://www.linkedin.com/company/artisan-bakers-inc,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=18498215,brian.br.oneill@oracle.com,"O'Neill, Brian"
Astek,http://astek.com,(818) 901-9876,15924 Arminta St Van Nuys,Van Nuys,CA,91406,United States,Manufacturing,3146347,http://www.linkedin.com/company/astek-inc,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=185793445,brian.br.oneill@oracle.com,"O'Neill, Brian"
Atlas Group,http://www.atlasgroupaero.com,(215) 638-3884,"4425 W. May St., Building A",Wichita,KS,67209-2841,United States,Manufacturing,347703646,http://www.linkedin.com/company/atlas-group-aero,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=149817396,brian.br.oneill@oracle.com,"O'Neill, Brian"
"Aurora Packing Company, Inc.",http://www.aurorabeef.com,815-735-4691,125 S Grant St,North Aurora,IL,60542,United States,Manufacturing,9309079,http://www.linkedin.com/company/aurora-packing-company-inc-,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=132505091,brian.br.oneill@oracle.com,"O'Neill, Brian"
Autex LLC,http://www.autexacoustics.com,(310) 490-1591,19350 Van Ness Ave,Torrance,CA,90501-1103,United States,Manufacturing,1139970352,http://www.linkedin.com/company/autex-acoustics-north-america,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=62471370,brian.br.oneill@oracle.com,"O'Neill, Brian"
Avenue Bread and Deli/Avenue Bakery,http://avenuebread.com,(360) 746-0751,"2020 Humboldt St Bellingham, WA 98225",Bellingham,WA,98225,United States,Retail,347733050,http://www.linkedin.com/company/avenue-bread-and-deli,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=197500694,brian.br.oneill@oracle.com,"O'Neill, Brian"
Bako Sweet,http://bakosweet.com,661 858 1075,5060 B St,Bakersfield,CA,93307,United States,Agriculture,404269656,http://www.linkedin.com/company/country-sweet-produce,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=39661018,brian.br.oneill@oracle.com,"O'Neill, Brian"
Barebottle Brew Co,http://barebottlebeer.com,650-808-5207,1525 Cortland Ave # 6,San Francisco,CA,941105714,United States,Retail,357247946,http://www.linkedin.com/company/barebottle-brewing-company,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=53220640,brian.br.oneill@oracle.com,"O'Neill, Brian"
Baymag Inc,http://www.baymag.com,403 225 5132,1200-10655 Southport Rd SW,Calgary,AB,T2W 4Y1,Canada,Manufacturing,12620813,http://www.linkedin.com/company/baymag-inc.,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=149454307,brian.br.oneill@oracle.com,"O'Neill, Brian"
Bedsure,http://www.bedsurehome.com,000-000-0000,,Walnut,CA,91789,United States,Retail,477716848,http://www.linkedin.com/company/besure-rose,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=120915924,brian.br.oneill@oracle.com,"O'Neill, Brian"
Beneficial Insectary,http://insectary.com,5309178754,9664 Tanqueray Ct,Redding,CA,96003,United States,Manufacturing,1115351930,http://www.linkedin.com/company/beneficial-insectary-inc,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=206496868,brian.br.oneill@oracle.com,"O'Neill, Brian"
BK Resources,http://www.bk-resources.com,618 483 9887,120 Frontage Road,Altamont,IL,62411,United States,Minerals & Mining,17011181,http://www.linkedin.com/company/bk-resources,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=15181097,brian.br.oneill@oracle.com,"O'Neill, Brian"
Bold Ventures,https://www.boldventuresinc.com/,(416) 864-1456,,,ON,,Canada,Minerals & Mining,354006686,http://www.linkedin.com/company/bold-venture-enterprises,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=203635239,brian.br.oneill@oracle.com,"O'Neill, Brian"
Boom Home Medical,http://boomhomemedical.com,5555555555,9800 Wilshire Blvd 210,Beverly Hills,CA,90212,United States,Retail,1314180734,http://www.linkedin.com/company/loona-medical,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=142011605,brian.br.oneill@oracle.com,"O'Neill, Brian"
Bora Biologics,https://www.borabiologics.com,858-210-4100,,San Diego,CA,,United States,Manufacturing,5000062256,https://www.linkedin.com/sales/company/105366322?_ntb=wKcobc0BTZCK0TWTkYXvnA%3D%3D,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=194962111,brian.br.oneill@oracle.com,"O'Neill, Brian"
Boudin Bakeries Inc,http://www.boudinbakery.com,415-882-1849,,,CA,,United States,Manufacturing,5983150,http://www.linkedin.com/company/boudin,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=29044556,brian.br.oneill@oracle.com,"O'Neill, Brian"
Broadway Glass & Mirror Inc.,http://www.broadwayglass.com,562 434 8405,2523 E. Broadway,Long Beach,CA,90803,United States,Manufacturing,42750193,http://www.linkedin.com/company/broadway-glass-and-mirror-inc,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=108307290,brian.br.oneill@oracle.com,"O'Neill, Brian"
Brock USA,https://www.brockusa.com/,(303) 544-5800,,Boulder,CO,80301,United States,Retail,17896360,http://www.linkedin.com/company/brock-international,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=191371436,brian.br.oneill@oracle.com,"O'Neill, Brian"
Builders Supply Co,http://www.builderssupplyco.com,(402) 331-4500,5701 S 72nd St,Omaha,NE,68127-3900,United States,Retail,348472006,http://www.linkedin.com/company/building-supply-company,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=94427447,brian.br.oneill@oracle.com,"O'Neill, Brian"
C.R. McMullen Co. Inc.,http://www.crmcmullen.com,(760) 715-1217,2435 Cades Way,Vista,CA,92081,United States,Manufacturing,346805704,http://www.linkedin.com/company/c-r-mcmullen-co-,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=59251872,brian.br.oneill@oracle.com,"O'Neill, Brian"
Caffe Classico Foods Inc.,http://www.caffeclassicofoods.com,925 602 5400,2500 analissa drive,Concord,CA,94520-1178,United States,Manufacturing,17238338,http://www.linkedin.com/company/caffe-classico,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=1681642,brian.br.oneill@oracle.com,"O'Neill, Brian"
CALIFORNIA FINE WIRE CO,http://www.calfinewire.com,805 489 5144,,GROVER BEACH,CA,93483,United States,Manufacturing,6275122,http://www.linkedin.com/company/california-fine-wire-co,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=494080,brian.br.oneill@oracle.com,"O'Neill, Brian"
Carr Lane Manufacturing,http://www.carrlane.com,314 647 6200,4200 Carr Lane Court,St. Louis,MO,63119,United States,Manufacturing,21662609,http://www.linkedin.com/company/2532543,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=53282770,brian.br.oneill@oracle.com,"O'Neill, Brian"
Cbcc Global Research,https://www.cbcc.global,(661) 862-8588,6501 Truxtun Ave,Bakersfield,CA,93309,United States,Retail,406702609,http://www.linkedin.com/company/vibgyor-scientific-research-pvt--ltd-,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=122776306,brian.br.oneill@oracle.com,"O'Neill, Brian"
Chalet Desserts Inc.,http://www.chaletdesserts.com,877 241 6161,,Sacramento,CA,95815,United States,Retail,356104882,http://www.linkedin.com/company/chalet-desserts-inc,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=59721779,brian.br.oneill@oracle.com,"O'Neill, Brian"
Chamberlin Agriculture,http://chamberlinag.com,(509) 699-1732,590 N Chamberlin Way,East Wenatchee,WA,98802,United States,Finance,365544372,http://www.linkedin.com/company/chamberlin-agriculture-inc,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=186743198,brian.br.oneill@oracle.com,"O'Neill, Brian"
Chemcor Chemical Corporation,http://www.chemcorchemical.com,909-590-7234,13770 Benson Ave,Chino,CA,91710,United States,Manufacturing,356604686,https://www.linkedin.com/sales/company/6219236,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=34920868,brian.br.oneill@oracle.com,"O'Neill, Brian"
Choc-Art LLC,http://www.candymaker.com,661 257 3700,24836 Ave Rockefeller,Valencia,CA,913553467,United States,Retail,435532772,http://www.linkedin.com/company/chocolates-a-la-carte,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=67382516,brian.br.oneill@oracle.com,"O'Neill, Brian"
Chuckanut Bay Foods,http://www.chuckanutbay.com,360 380 1908,5501 Hovander Rd # 1,Ferndale,WA,98248,United States,Manufacturing,354006257,http://www.linkedin.com/company/chuckanut-bay-foods,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=9764698,brian.br.oneill@oracle.com,"O'Neill, Brian"
Clay Laguna Co,http://www.lagunaclay.com,16263300631,14400 Lomitas Ave,City of Industry,CA,917463018,United States,Manufacturing,21987923,https://www.linkedin.com/company/lagunaclay/,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=130785553,brian.br.oneill@oracle.com,"O'Neill, Brian"
Clear Image Printing,http://www.clearimageprinting.com,7475004599,12744 San Fernando Rd Ste 200,Sylmar,CA,91342,United States,Business Services,354049031,http://www.linkedin.com/company/clear-image-printing-company,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=186854612,brian.br.oneill@oracle.com,"O'Neill, Brian"
CLW Foods,http://www.clwfoods.com,3234324600,8765 3rd Street,Hanford,CA,93230,United States,Manufacturing,358119868,http://www.linkedin.com/company/clw-foods-llc,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=118342128,brian.br.oneill@oracle.com,"O'Neill, Brian"
Competition Specialties,https://www.compspecialties.com,253-833-6211,,Auburn,WA,98001,United States,Retail,1125822401,http://www.linkedin.com/company/competition-specialties,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=207531627,brian.br.oneill@oracle.com,"O'Neill, Brian"
Condor,http://condoroutdoor.com,(626) 303-3383,5268 Rivergrade Rd,Irwindale,CA,91706,United States,Retail,29216645,http://www.linkedin.com/company/condor-corporation-property-management,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=183112096,brian.br.oneill@oracle.com,"O'Neill, Brian"
Continental Floral Greens,http://www.cfgreens.com,360-602-5422,,Belfair,WA,98528,United States,Retail,29775549,http://www.linkedin.com/company/continental-floral-greens,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=164962503,brian.br.oneill@oracle.com,"O'Neill, Brian"
Copper Door Coffee,http://www.copperdoorcoffee.com,720 432 1891,923 Jersey St,Denver,CO,802204592,United States,Retail,372350706,http://www.linkedin.com/company/copper-hound-coffee,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=76868409,brian.br.oneill@oracle.com,"O'Neill, Brian"
Corefx Ingredients Llc,http://www.corefxingredients.com/,773 271 2663,1007 Church St Ste 800,Evanston,IL,60625,United States,Retail,398786389,http://www.linkedin.com/company/corefx-ingredients-llc,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=62126055,brian.br.oneill@oracle.com,"O'Neill, Brian"
Creations Foods,https://www.creationsfoods.com/,360-366-4567,2252 Odell St,Blaine,WA,98230,United States,Manufacturing,468776949,http://www.linkedin.com/company/creations-foods,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=72178208,brian.br.oneill@oracle.com,"O'Neill, Brian"
DaCosta Farms LLC,https://dacostafarms.com/,208-718-8205,111 Alpine Drive,Gonzalez,CA,93926,United States,Manufacturing,,,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=177394753,brian.br.oneill@oracle.com,"O'Neill, Brian"
Dandelion Chocolate,https://www.dandelionchocolate.com/,415 349 0942,740 Valencia St,San Francisco,CA,94110,United States,Manufacturing,355316243,http://www.linkedin.com/company/dandelion-chocolate,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=18341123,brian.br.oneill@oracle.com,"O'Neill, Brian"
DCD Design & Manufacturing,https://www.dcddesign.com/,6042324445,6620 Mcmillan Way,Richmond,BC,V6W1J7,Canada,Manufacturing,10715751,http://www.linkedin.com/company/dcd-design-&-manufacturing-ltd,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=163665318,brian.br.oneill@oracle.com,"O'Neill, Brian"
Del Mar Packing,http://www.delmarfarms.com,2098945555,9843 Cox Rd,Patterson,CA,95363,United States,Agriculture,1138901486,http://www.linkedin.com/company/del-mar-farms,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=163880457,brian.br.oneill@oracle.com,"O'Neill, Brian"
Delta Controls,https://www.deltacontrols.com,604-574-9444,17850 56th Ave,Langley,BC,V3S 1C7,Canada,Manufacturing,34393292,http://www.linkedin.com/company/delta-controls,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=36885382,brian.br.oneill@oracle.com,"O'Neill, Brian"
Delta Power,http://www.delta-power.com,815 397 6628,4484 Boeing Dr,Rockford,IL,61109,United States,Manufacturing,34393426,http://www.linkedin.com/company/delta-power-co-llc,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=3754603,brian.br.oneill@oracle.com,"O'Neill, Brian"
Denali Brewpub,http://www.denalibrewing.com,907-733-2540,,,AK,,United States,Manufacturing,363420493,http://www.linkedin.com/company/twister-creek-restaurant,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=38140514,brian.br.oneill@oracle.com,"O'Neill, Brian"
Dmg Mori Digital Technology Laboratory Corporation,https://us.dmgmori.com/,530 746 7400/011-807-6666,3601 Faraday Ave,Davis,CA,956187776,United States,Manufacturing,359550416,http://www.linkedin.com/company/dmgmoriusa,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=115184015,brian.br.oneill@oracle.com,"O'Neill, Brian"
Double L Group,http://www.doublel.com/,213 622 4047,,Dyersville,IA,52040,United States,Agriculture,11698653,http://www.linkedin.com/company/double-l-global,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=13689634,brian.br.oneill@oracle.com,"O'Neill, Brian"
"Doug Mockett & Company, Inc.",http://www.mockett.com,310 318 2491,1915 Abalone Ave,Torrance,CA,90501,United States,Retail,43109595,http://www.linkedin.com/company/420893,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=1454920,brian.br.oneill@oracle.com,"O'Neill, Brian"
Dugan's Paint & Flooring Center,http://www.dugans1871.com,660 826 0142,3103 Erica,Sedalia,MO,65301-7991,United States,Retail,37654878,http://www.linkedin.com/company/dugan's-paint-&-flooring-center,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=3114290,brian.br.oneill@oracle.com,"O'Neill, Brian"
Dynamic Rescue Systems Inc,http://www.dynamicrescue.com,6045220228,10425 173 St,Surrey,BC,V4M 5H3,Canada,Manufacturing,355704103,http://www.linkedin.com/company/dynamic-rescue-systems-inc,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=149639940,brian.br.oneill@oracle.com,"O'Neill, Brian"
"E & S International Enterprises, Inc.",https://www.esintl.com,818-702-2256,7801 Hayvenhurst Ave,Van Nuys,CA,90015,United States,Retail,40749570,http://www.linkedin.com/company/esi-enterprises-inc-,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=111634412,brian.br.oneill@oracle.com,"O'Neill, Brian"
EBD Truss,http://ebdtruss.com,319 653 6235,230 Hwy 1 and 92 N,Washington,IA,52353,United States,Manufacturing,83282818,http://www.linkedin.com/company/engineered-building-design-lc,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=196389671,brian.br.oneill@oracle.com,"O'Neill, Brian"
Electron Beam Technologies Inc,http://www.electronbeam.com,815-935-2211,1275 Harvard Dr,Kankakee,IL,60901-9471,United States,Manufacturing,16992089,http://www.linkedin.com/company/electron-beam-technologies-inc,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=3442139,brian.br.oneill@oracle.com,"O'Neill, Brian"
Elevated Inc,http://elevated.inc,(323) 391-1058,1313 W 135th St,Gardena,CA,90247,United States,Manufacturing,451744468,http://www.linkedin.com/company/elevatedmaterials,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=197304517,brian.br.oneill@oracle.com,"O'Neill, Brian"
Elevation Foods,http://www.elevation-foods.com,865 689 5893 x126,250 Fillmore Street,Denver,CO,80206,United States,Retail,470879717,http://www.linkedin.com/company/elevation-foods,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=116566485,brian.br.oneill@oracle.com,"O'Neill, Brian"
Elk Cove Vineyards,http://www.elkcove.com,503 985 7760,27751 NW Olson Rd,Gaston,OR,97119-8042,United States,Retail,40047511,http://www.linkedin.com/company/campbell-vineyard-properties-llc,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=3543783,brian.br.oneill@oracle.com,"O'Neill, Brian"
Ensight Solutions LLC,http://www.ensightsolutions.us,855 736 2195,,Strafford,MO,65757,United States,Manufacturing,432227935,http://www.linkedin.com/company/ensight-solutions-llc,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=71945013,brian.br.oneill@oracle.com,"O'Neill, Brian"
Exodus Rigs,https://www.exodusrigs.com/,805 484 8855,10572 Acacia Street,Rancho Cucamonga,CA,91730,United States,Manufacturing,1322875203,https://www.linkedin.com/company/exodusrigs/,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=163937627,brian.br.oneill@oracle.com,"O'Neill, Brian"
Express Chipping,http://www.chippingconcrete.com,888 919 2447,418 Goetz Ave,Santa Ana,CA,927073710,United States,Manufacturing,410765568,https://www.linkedin.com/company/expresschipping/,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=114770961,brian.br.oneill@oracle.com,"O'Neill, Brian"
"Exquadrum, Inc.",http://www.exquadrum.com,760 246 0279,13313 Sabre Blvd Victorville,"Victorville,",CA,92394,United States,Manufacturing,24988145,http://www.linkedin.com/company/exquadrum-inc,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=5497345,brian.br.oneill@oracle.com,"O'Neill, Brian"
Fat Panda Ltd.,http://www.fatpanda.ca,2042291542,883 Notre Dame Ave Unit 101,Winnipeg,MB,R3E 0M4,Canada,Retail,373184783,http://www.linkedin.com/company/fat-panda-vape-shop,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=209450604,brian.br.oneill@oracle.com,"O'Neill, Brian"
"FBC Industries, Inc.",http://www.fbcindustries.com,847 839 0880,"1933 N. Meacham Rd, Suite 550",Schaumburg,IL,60173-4558,United States,Manufacturing,43995656,,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=2955732,brian.br.oneill@oracle.com,"O'Neill, Brian"
Fiocchi Of America,http://www.fiocchiusa.com,417 449 1034,6930 N Fremont Rd,Ozark,MO,65721-5954,United States,Manufacturing,29919775,http://www.linkedin.com/company/fiocchi-of-america,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=3191313,brian.br.oneill@oracle.com,"O'Neill, Brian"
Forbes Industries,http://www.forbesindustries.com,909 923 4559,1933 E Locust St,Ontario,CA,91761-7608,United States,Minerals & Mining,46386137,http://www.linkedin.com/company/forbesindustries,https://nlcorp.app.netsuite.com/app/common/entity/custjob.nl?id=1922656,brian.br.oneill@oracle.com,"O'Neill, Brian"
